hidden layer 1,hidden layer 2,hidden layer 3,accuracy_score,precision_score,recall_score,f1_score
25,25,8,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,9,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,10,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,11,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,12,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,13,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,14,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,15,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,16,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,17,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,18,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,19,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,20,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,21,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,22,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,23,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,24,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
