hidden layer 1,hidden layer 2,hidden layer 3,accuracy_score,precision_score,recall_score,f1_score
1,0,0,0.6796536796536796,0.0,0.0,0.0
2,0,0,0.3722943722943723,0.3378995433789954,1.0,0.5051194539249148
3,0,0,0.7532467532467533,0.7297297297297297,0.36486486486486486,0.4864864864864865
4,0,0,0.7316017316017316,0.5681818181818182,0.6756756756756757,0.617283950617284
5,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
6,0,0,0.7359307359307359,0.5747126436781609,0.6756756756756757,0.6211180124223602
7,0,0,0.7316017316017316,0.59375,0.5135135135135135,0.5507246376811593
8,0,0,0.7316017316017316,0.5697674418604651,0.6621621621621622,0.6125
9,0,0,0.7359307359307359,0.5747126436781609,0.6756756756756757,0.6211180124223602
10,0,0,0.7445887445887446,0.5903614457831325,0.6621621621621622,0.624203821656051
11,0,0,0.7359307359307359,0.5802469135802469,0.6351351351351351,0.6064516129032258
12,0,0,0.7445887445887446,0.5903614457831325,0.6621621621621622,0.624203821656051
13,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
14,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
15,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
16,0,0,0.7316017316017316,0.5697674418604651,0.6621621621621622,0.6125
17,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
18,0,0,0.7272727272727273,0.5632183908045977,0.6621621621621622,0.6086956521739131
19,0,0,0.7229437229437229,0.5581395348837209,0.6486486486486487,0.6
20,0,0,0.7316017316017316,0.573170731707317,0.6351351351351351,0.6025641025641024
21,0,0,0.7229437229437229,0.5581395348837209,0.6486486486486487,0.6
22,0,0,0.7316017316017316,0.5714285714285714,0.6486486486486487,0.6075949367088608
23,0,0,0.7272727272727273,0.5632183908045977,0.6621621621621622,0.6086956521739131
24,0,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,1,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,2,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,3,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,4,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,5,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,6,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,7,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,8,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
25,9,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
